epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.0627,2.15573,3.26368,2.03593,0.42122,0.17886,0.16985,0.05161,1.89452,3.49278,1.85901,0.0671908,0.000331407,0.000331407
2,91.5642,1.99796,2.8119,1.94264,0.69618,0.15954,0.15491,0.04803,2.07932,2.85088,2.16799,0.0341907,0.000664676,0.000664676
3,135.386,2.05038,2.67719,2.08189,0.77763,0.14506,0.15216,0.04282,2.77546,3.38495,2.51539,0.00119037,0.000997692,0.000997692
4,179.041,2.27911,2.60615,2.32241,0.72134,0.1498,0.16129,0.05873,2.13615,2.77019,2.13323,0.000999141,0.000999141,0.000999141
5,222.91,2.08871,3.09207,2.13052,0.52469,0.15607,0.15925,0.05883,1.9228,2.54752,1.97176,0.000998474,0.000998474,0.000998474
6,266.566,2.00838,2.83718,2.04113,0.52638,0.16254,0.18773,0.07455,1.9717,2.46984,1.99373,0.000997616,0.000997616,0.000997616
7,310.36,1.98892,2.85879,1.98648,0.57876,0.23443,0.28368,0.14832,1.96547,2.45676,2.01166,0.000996569,0.000996569,0.000996569
8,354.144,2.02586,2.5608,1.99443,0.48554,0.19736,0.22176,0.06933,1.89715,156.485,1.90793,0.000995332,0.000995332,0.000995332
9,397.752,1.8556,2.37519,1.87579,0.75969,0.15723,0.23911,0.11953,1.70667,1.85382,1.47591,0.000993906,0.000993906,0.000993906
10,441.686,1.91938,2.2865,1.87784,0.82686,0.19648,0.24646,0.09569,1.7952,2.31014,1.73101,0.000992291,0.000992291,0.000992291
11,485.267,1.91755,2.17769,1.90784,0.34083,0.32878,0.27217,0.13878,1.74267,1.80231,1.61951,0.000990489,0.000990489,0.000990489
12,529.375,1.89559,2.03756,1.88448,0.59122,0.24736,0.29248,0.13941,1.88929,1.89242,1.71547,0.000988499,0.000988499,0.000988499
13,573.201,1.93408,1.96541,1.85697,0.37588,0.43012,0.28912,0.15747,1.77809,1.73102,1.61304,0.000986323,0.000986323,0.000986323
14,618.407,1.90833,1.78074,1.82722,0.20385,0.44769,0.36392,0.16735,1.82254,1.68794,1.67713,0.000983962,0.000983962,0.000983962
15,662.521,1.91219,1.6398,1.85071,0.58257,0.51453,0.46685,0.21789,2.07205,1.47457,1.73973,0.000981415,0.000981415,0.000981415
16,706.258,1.86482,1.86913,1.75948,0.14184,0.36202,0.26808,0.1298,1.72876,1.71945,1.56671,0.000978685,0.000978685,0.000978685
17,750.379,1.8943,1.90514,1.81874,0.20408,0.44545,0.33432,0.17618,1.74688,1.71753,1.63315,0.000975773,0.000975773,0.000975773
18,794.249,1.83619,1.69427,1.77099,0.26264,0.5485,0.35745,0.17835,1.82818,1.38839,1.69488,0.000972679,0.000972679,0.000972679
19,838.07,1.7706,1.55043,1.72988,0.5011,0.31184,0.43833,0.23721,1.73539,1.40338,1.54285,0.000969405,0.000969405,0.000969405
20,881.847,1.78511,1.52341,1.70497,0.2353,0.44731,0.42575,0.2273,1.82883,1.38879,1.72755,0.000965951,0.000965951,0.000965951
21,925.916,1.72677,1.49671,1.70708,0.66683,0.26946,0.33493,0.16012,1.8012,1.63784,1.68817,0.00096232,0.00096232,0.00096232
22,969.676,1.81948,1.53684,1.80332,0.37583,0.55412,0.47943,0.25039,1.69396,1.38054,1.52312,0.000958513,0.000958513,0.000958513
23,1013.79,1.71961,1.42344,1.67149,0.53041,0.43044,0.47145,0.24237,1.7567,1.359,1.52079,0.000954531,0.000954531,0.000954531
24,1057.75,1.67309,1.41572,1.62488,0.46021,0.49401,0.45163,0.23332,1.60092,1.34746,1.45978,0.000950375,0.000950375,0.000950375
25,1101.69,1.65074,1.37878,1.60714,0.80375,0.33472,0.48221,0.22514,1.70593,1.4425,1.53259,0.000946048,0.000946048,0.000946048
26,1146.4,1.7043,1.39183,1.68941,0.23656,0.51215,0.39346,0.1994,1.5993,1.41215,1.437,0.000941551,0.000941551,0.000941551
27,1190.52,1.65257,1.43574,1.61011,0.3591,0.52625,0.45954,0.25843,1.59716,1.26135,1.39123,0.000936886,0.000936886,0.000936886
